t'	a(t')	Trad(t')	Tb(t')	z(t')	i
------------
v=0___j=0	v=0___j=1	v=0___j=2	v=0___j=3	v=0___j=4	v=0___j=5	v=0___j=6	v=0___j=7	v=0___j=8	
6.27e-007	3.2193e-004	8.4662e+003	8.4564e+003	3.1053e+003	§§§	6.27e-007	1.0000e+000	2.585e+000	2.1660e-033	9.23e-003	8.14e-002	4.34e-002	1.72e-001	6.81e-002	2.26e-001	7.95e-002	2.41e-001	7.87e-002	
6.59e-007	3.2331e-004	8.4300e+003	8.4201e+003	3.0920e+003	§§§	6.59e-007	1.0000e+000	2.585e+000	2.1488e-033	9.24e-003	8.15e-002	4.35e-002	1.72e-001	6.81e-002	2.26e-001	7.95e-002	2.41e-001	7.86e-002	
6.91e-007	3.2469e-004	8.3942e+003	8.3843e+003	3.0789e+003	§§§	6.91e-007	1.0000e+000	2.586e+000	2.1315e-033	9.25e-003	8.16e-002	4.35e-002	1.72e-001	6.81e-002	2.26e-001	7.95e-002	2.41e-001	7.85e-002	
7.23e-007	3.2606e-004	8.3588e+003	8.3488e+003	3.0659e+003	§§§	7.23e-007	1.0000e+000	2.587e+000	2.1146e-033	9.26e-003	8.17e-002	4.36e-002	1.72e-001	6.82e-002	2.27e-001	7.94e-002	2.41e-001	7.84e-002	
7.55e-007	3.2743e-004	8.3238e+003	8.3138e+003	3.0530e+003	§§§	7.55e-007	1.0000e+000	2.587e+000	2.0980e-033	9.28e-003	8.18e-002	4.36e-002	1.72e-001	6.82e-002	2.27e-001	7.94e-002	2.41e-001	7.82e-002	
7.87e-007	3.2880e-004	8.2892e+003	8.2791e+003	3.0404e+003	§§§	7.87e-007	1.0000e+000	2.588e+000	2.0817e-033	9.29e-003	8.19e-002	4.37e-002	1.73e-001	6.82e-002	2.27e-001	7.94e-002	2.40e-001	7.81e-002	
8.19e-007	3.3016e-004	8.2550e+003	8.2449e+003	3.0278e+003	§§§	8.19e-007	1.0000e+000	2.589e+000	2.0657e-033	9.30e-003	8.20e-002	4.37e-002	1.73e-001	6.83e-002	2.27e-001	7.94e-002	2.40e-001	7.80e-002	
8.51e-007	3.3152e-004	8.2212e+003	8.2110e+003	3.0154e+003	§§§	8.51e-007	1.0000e+000	2.590e+000	2.0496e-033	9.32e-003	8.21e-002	4.38e-002	1.73e-001	6.83e-002	2.27e-001	7.93e-002	2.40e-001	7.79e-002	
8.83e-007	3.3287e-004	8.1878e+003	8.1775e+003	3.0031e+003	§§§	8.83e-007	1.0000e+000	2.590e+000	2.0332e-033	9.33e-003	8.22e-002	4.38e-002	1.73e-001	6.83e-002	2.27e-001	7.93e-002	2.40e-001	7.78e-002	
9.15e-007	3.3422e-004	8.1547e+003	8.1444e+003	2.9910e+003	§§§	9.15e-007	1.0000e+000	2.591e+000	2.0174e-033	9.34e-003	8.23e-002	4.39e-002	1.73e-001	6.84e-002	2.27e-001	7.93e-002	2.39e-001	7.76e-002	
9.47e-007	3.3557e-004	8.1220e+003	8.1117e+003	2.9790e+003	§§§	9.47e-007	1.0000e+000	2.592e+000	2.0019e-033	9.35e-003	8.24e-002	4.39e-002	1.73e-001	6.84e-002	2.27e-001	7.92e-002	2.39e-001	7.75e-002	
9.79e-007	3.3691e-004	8.0896e+003	8.0792e+003	2.9671e+003	§§§	9.79e-007	1.0000e+000	2.592e+000	1.9866e-033	9.37e-003	8.25e-002	4.40e-002	1.73e-001	6.84e-002	2.27e-001	7.92e-002	2.39e-001	7.74e-002	
1.01e-006	3.3825e-004	8.0576e+003	8.0472e+003	2.9554e+003	§§§	1.01e-006	1.0000e+000	2.593e+000	1.9713e-033	9.38e-003	8.26e-002	4.40e-002	1.74e-001	6.85e-002	2.27e-001	7.92e-002	2.39e-001	7.73e-002	
1.04e-006	3.3958e-004	8.0260e+003	8.0155e+003	2.9438e+003	§§§	1.04e-006	1.0000e+000	2.594e+000	1.9564e-033	9.39e-003	8.27e-002	4.41e-002	1.74e-001	6.85e-002	2.27e-001	7.91e-002	2.39e-001	7.72e-002	
1.08e-006	3.4092e-004	7.9947e+003	7.9841e+003	2.9323e+003	§§§	1.08e-006	1.0000e+000	2.594e+000	1.9418e-033	9.40e-003	8.28e-002	4.41e-002	1.74e-001	6.86e-002	2.27e-001	7.91e-002	2.38e-001	7.70e-002	
1.11e-006	3.4224e-004	7.9637e+003	7.9531e+003	2.9209e+003	§§§	1.11e-006	1.0000e+000	2.595e+000	1.9273e-033	9.42e-003	8.29e-002	4.42e-002	1.74e-001	6.86e-002	2.27e-001	7.91e-002	2.38e-001	7.69e-002	
1.14e-006	3.4356e-004	7.9330e+003	7.9224e+003	2.9097e+003	§§§	1.14e-006	1.0000e+000	2.596e+000	1.9131e-033	9.43e-003	8.31e-002	4.42e-002	1.74e-001	6.86e-002	2.27e-001	7.91e-002	2.38e-001	7.68e-002	
1.17e-006	3.4488e-004	7.9027e+003	7.8920e+003	2.8985e+003	§§§	1.17e-006	1.0000e+000	2.596e+000	1.8990e-033	9.44e-003	8.32e-002	4.43e-002	1.74e-001	6.87e-002	2.27e-001	7.90e-002	2.38e-001	7.67e-002	
1.20e-006	3.4620e-004	7.8726e+003	7.8619e+003	2.8875e+003	§§§	1.20e-006	1.0000e+000	2.597e+000	1.8851e-033	9.45e-003	8.33e-002	4.43e-002	1.74e-001	6.87e-002	2.27e-001	7.90e-002	2.37e-001	7.66e-002	
1.24e-006	3.4751e-004	7.8429e+003	7.8321e+003	2.8766e+003	§§§	1.24e-006	1.0000e+000	2.598e+000	1.8713e-033	9.47e-003	8.34e-002	4.43e-002	1.75e-001	6.87e-002	2.27e-001	7.90e-002	2.37e-001	7.65e-002	
1.27e-006	3.4882e-004	7.8135e+003	7.8027e+003	2.8658e+003	§§§	1.27e-006	1.0000e+000	2.598e+000	1.8575e-033	9.48e-003	8.35e-002	4.44e-002	1.75e-001	6.88e-002	2.27e-001	7.89e-002	2.37e-001	7.64e-002	
1.30e-006	3.5012e-004	7.7844e+003	7.7735e+003	2.8551e+003	§§§	1.30e-006	1.0000e+000	2.599e+000	1.8441e-033	9.49e-003	8.36e-002	4.44e-002	1.75e-001	6.88e-002	2.27e-001	7.89e-002	2.37e-001	7.62e-002	
1.33e-006	3.5142e-004	7.7556e+003	7.7446e+003	2.8446e+003	§§§	1.33e-006	1.0000e+000	2.600e+000	1.8307e-033	9.50e-003	8.37e-002	4.45e-002	1.75e-001	6.88e-002	2.27e-001	7.89e-002	2.37e-001	7.61e-002	
