t'	a(t')	Trad(t')	Tb(t')	z(t')	i
5.5050230e-007	3.1859771e-004	8.5546754e+003	8.5449942e+003	3.1377545e+003	67
5.6360950e-007	3.1916925e-004	8.5393566e+003	8.5296537e+003	3.1321340e+003	68
5.7671670e-007	3.1974002e-004	8.5241127e+003	8.5143880e+003	3.1265409e+003	69
5.8982390e-007	3.2031005e-004	8.5089431e+003	8.4991967e+003	3.1209751e+003	70
6.0293110e-007	3.2087933e-004	8.4938472e+003	8.4840792e+003	3.1154363e+003	71
6.1603830e-007	3.2144786e-004	8.4788245e+003	8.4690348e+003	3.1099244e+003	72
6.2914550e-007	3.2201565e-004	8.4638743e+003	8.4540629e+003	3.1044391e+003	73
6.4225270e-007	3.2258270e-004	8.4489961e+003	8.4391631e+003	3.0989802e+003	74
6.5535990e-007	3.2314902e-004	8.4341893e+003	8.4243347e+003	3.0935475e+003	75
6.6846710e-007	3.2371460e-004	8.4194534e+003	8.4095771e+003	3.0881408e+003	76
6.8157430e-007	3.2427946e-004	8.4047877e+003	8.3948898e+003	3.0827599e+003	77
6.9468150e-007	3.2484359e-004	8.3901918e+003	8.3802723e+003	3.0774046e+003	78
7.0778870e-007	3.2540700e-004	8.3756650e+003	8.3657240e+003	3.0720747e+003	79
7.2089590e-007	3.2596969e-004	8.3612069e+003	8.3512443e+003	3.0667699e+003	80
7.3400310e-007	3.2653166e-004	8.3468169e+003	8.3368328e+003	3.0614901e+003	81
7.4711030e-007	3.2709293e-004	8.3324945e+003	8.3224888e+003	3.0562352e+003	82
7.6021750e-007	3.2765348e-004	8.3182391e+003	8.3082119e+003	3.0510048e+003	83
7.7332470e-007	3.2821333e-004	8.3040503e+003	8.2940016e+003	3.0457989e+003	84
7.8643190e-007	3.2877248e-004	8.2899275e+003	8.2798574e+003	3.0406171e+003	85
7.9953910e-007	3.2933092e-004	8.2758703e+003	8.2657786e+003	3.0354595e+003	86
8.1264630e-007	3.2988867e-004	8.2618780e+003	8.2517650e+003	3.0303256e+003	87
8.2575350e-007	3.3044573e-004	8.2479503e+003	8.2378158e+003	3.0252155e+003	88
8.3886070e-007	3.3100210e-004	8.2340867e+003	8.2239307e+003	3.0201289e+003	89
8.5196790e-007	3.3155778e-004	8.2202866e+003	8.2101092e+003	3.0150655e+003	90
8.6507510e-007	3.3211278e-004	8.2065496e+003	8.1963508e+003	3.0100253e+003	91
8.7818230e-007	3.3266710e-004	8.1928751e+003	8.1826550e+003	3.0050081e+003	92
8.9128950e-007	3.3322074e-004	8.1792628e+003	8.1690213e+003	3.0000137e+003	93
9.0439670e-007	3.3377370e-004	8.1657122e+003	8.1554493e+003	2.9950419e+003	94
9.1750390e-007	3.3432600e-004	8.1522228e+003	8.1419386e+003	2.9900926e+003	95
9.3061110e-007	3.3487762e-004	8.1387941e+003	8.1284886e+003	2.9851655e+003	96
9.4371830e-007	3.3542858e-004	8.1254258e+003	8.1150989e+003	2.9802606e+003	97
9.5682550e-007	3.3597887e-004	8.1121173e+003	8.1017691e+003	2.9753776e+003	98
9.6993270e-007	3.3652851e-004	8.0988682e+003	8.0884987e+003	2.9705165e+003	99
9.8303990e-007	3.3707748e-004	8.0856780e+003	8.0752873e+003	2.9656770e+003	100
9.9614710e-007	3.3762580e-004	8.0725465e+003	8.0621345e+003	2.9608589e+003	101
1.0092543e-006	3.3817347e-004	8.0594730e+003	8.0490398e+003	2.9560622e+003	102
1.0223615e-006	3.3872050e-004	8.0464573e+003	8.0360028e+003	2.9512867e+003	103
1.0354687e-006	3.3926687e-004	8.0334988e+003	8.0230231e+003	2.9465321e+003	104
1.0485759e-006	3.3981260e-004	8.0205972e+003	8.0101003e+003	2.9417985e+003	105
1.0616831e-006	3.4035769e-004	8.0077520e+003	7.9972340e+003	2.9370855e+003	106
1.0747903e-006	3.4090214e-004	7.9949629e+003	7.9844237e+003	2.9323931e+003	107
1.0878975e-006	3.4144596e-004	7.9822294e+003	7.9716690e+003	2.9277211e+003	108
1.1010047e-006	3.4198915e-004	7.9695512e+003	7.9589696e+003	2.9230694e+003	109
1.1141119e-006	3.4253170e-004	7.9569278e+003	7.9463251e+003	2.9184378e+003	110
1.1272191e-006	3.4307363e-004	7.9443589e+003	7.9337351e+003	2.9138262e+003	111
