TB\TR	1		101		201		301		401		501		601		701		801		901		1001		1101		1201		1301		1401		1501		1601		1701		1801		1901		2001		2101		2201		2301		2401		2501		2601		2701		2801		2901		
1101|	1.0e-031	1.0e-031	9.7e-032	8.9e-032	7.9e-032	6.8e-032	5.7e-032	4.7e-032	3.6e-032	2.4e-032	1.2e-032	-2.7e-036	-1.3e-032	-2.7e-032	-4.2e-032	-5.9e-032	-7.6e-032	-9.5e-032	-1.2e-031	-1.4e-031	-1.6e-031	-1.9e-031	-2.2e-031	-2.5e-031	-2.8e-031	-3.2e-031	-3.5e-031	-3.9e-031	-4.3e-031	-4.7e-031	
1201|	1.5e-031	1.4e-031	1.4e-031	1.3e-031	1.2e-031	1.0e-031	9.0e-032	7.6e-032	6.2e-032	4.7e-032	3.2e-032	1.7e-032	-2.0e-038	-1.8e-032	-3.6e-032	-5.6e-032	-7.8e-032	-1.0e-031	-1.3e-031	-1.5e-031	-1.8e-031	-2.2e-031	-2.5e-031	-2.8e-031	-3.2e-031	-3.6e-031	-4.1e-031	-4.5e-031	-5.0e-031	-5.4e-031	
1301|	2.0e-031	2.0e-031	1.9e-031	1.8e-031	1.6e-031	1.5e-031	1.3e-031	1.1e-031	9.7e-032	7.9e-032	6.1e-032	4.2e-032	2.1e-032	3.0e-036	-2.3e-032	-4.7e-032	-7.3e-032	-1.0e-031	-1.3e-031	-1.6e-031	-2.0e-031	-2.3e-031	-2.7e-031	-3.2e-031	-3.6e-031	-4.1e-031	-4.6e-031	-5.1e-031	-5.6e-031	-6.1e-031	
1401|	2.6e-031	2.6e-031	2.6e-031	2.4e-031	2.2e-031	2.0e-031	1.8e-031	1.6e-031	1.4e-031	1.2e-031	9.9e-032	7.6e-032	5.2e-032	2.7e-032	4.6e-037	-2.9e-032	-5.9e-032	-9.2e-032	-1.3e-031	-1.6e-031	-2.0e-031	-2.5e-031	-2.9e-031	-3.4e-031	-3.9e-031	-4.4e-031	-5.0e-031	-5.6e-031	-6.2e-031	-6.8e-031	
1501|	3.4e-031	3.4e-031	3.4e-031	3.2e-031	3.0e-031	2.7e-031	2.5e-031	2.3e-031	2.0e-031	1.8e-031	1.5e-031	1.2e-031	9.4e-032	6.4e-032	3.3e-032	-2.3e-037	-3.5e-032	-7.3e-032	-1.1e-031	-1.6e-031	-2.0e-031	-2.5e-031	-3.0e-031	-3.5e-031	-4.1e-031	-4.7e-031	-5.3e-031	-6.0e-031	-6.6e-031	-7.3e-031	
1601|	4.3e-031	4.3e-031	4.2e-031	4.0e-031	3.8e-031	3.5e-031	3.3e-031	3.0e-031	2.7e-031	2.4e-031	2.1e-031	1.8e-031	1.5e-031	1.1e-031	7.8e-032	4.0e-032	-2.9e-035	-4.2e-032	-8.8e-032	-1.4e-031	-1.9e-031	-2.4e-031	-3.0e-031	-3.6e-031	-4.2e-031	-4.9e-031	-5.6e-031	-6.3e-031	-7.0e-031	-7.8e-031	
1701|	5.4e-031	5.4e-031	5.3e-031	5.1e-031	4.8e-031	4.5e-031	4.2e-031	3.9e-031	3.5e-031	3.2e-031	2.9e-031	2.5e-031	2.1e-031	1.8e-031	1.3e-031	9.2e-032	4.7e-032	-2.7e-035	-5.0e-032	-1.0e-031	-1.6e-031	-2.2e-031	-2.8e-031	-3.5e-031	-4.2e-031	-4.9e-031	-5.7e-031	-6.5e-031	-7.3e-031	-8.1e-031	
1801|	6.5e-031	6.5e-031	6.4e-031	6.2e-031	5.9e-031	5.6e-031	5.2e-031	4.9e-031	4.5e-031	4.1e-031	3.7e-031	3.3e-031	2.9e-031	2.5e-031	2.1e-031	1.6e-031	1.1e-031	5.6e-032	-3.3e-035	-5.9e-032	-1.2e-031	-1.9e-031	-2.6e-031	-3.3e-031	-4.0e-031	-4.8e-031	-5.7e-031	-6.5e-031	-7.4e-031	-8.3e-031	
1901|	7.8e-031	7.8e-031	7.7e-031	7.5e-031	7.2e-031	6.8e-031	6.4e-031	6.0e-031	5.6e-031	5.2e-031	4.8e-031	4.3e-031	3.9e-031	3.4e-031	2.9e-031	2.4e-031	1.8e-031	1.3e-031	6.4e-032	7.1e-035	-6.8e-032	-1.4e-031	-2.1e-031	-2.9e-031	-3.8e-031	-4.6e-031	-5.5e-031	-6.4e-031	-7.4e-031	-8.4e-031	
2001|	9.3e-031	9.3e-031	9.2e-031	8.9e-031	8.6e-031	8.2e-031	7.7e-031	7.3e-031	6.9e-031	6.4e-031	5.9e-031	5.5e-031	5.0e-031	4.4e-031	3.9e-031	3.3e-031	2.7e-031	2.1e-031	1.4e-031	7.4e-032	2.7e-035	-7.7e-032	-1.6e-031	-2.4e-031	-3.3e-031	-4.3e-031	-5.2e-031	-6.2e-031	-7.2e-031	-8.3e-031	
2101|	1.1e-030	1.1e-030	1.1e-030	1.1e-030	1.0e-030	9.7e-031	9.2e-031	8.8e-031	8.3e-031	7.8e-031	7.3e-031	6.8e-031	6.2e-031	5.6e-031	5.0e-031	4.4e-031	3.8e-031	3.1e-031	2.4e-031	1.6e-031	8.3e-032	5.6e-036	-8.7e-032	-1.8e-031	-2.7e-031	-3.7e-031	-4.8e-031	-5.8e-031	-6.9e-031	-8.0e-031	
2201|	1.3e-030	1.3e-030	1.3e-030	1.2e-030	1.2e-030	1.1e-030	1.1e-030	1.0e-030	9.8e-031	9.3e-031	8.8e-031	8.2e-031	7.6e-031	7.0e-031	6.3e-031	5.7e-031	5.0e-031	4.3e-031	3.5e-031	2.7e-031	1.8e-031	9.3e-032	5.3e-035	-9.7e-032	-2.0e-031	-3.0e-031	-4.1e-031	-5.3e-031	-6.4e-031	-7.6e-031	
2301|	1.5e-030	1.5e-030	1.4e-030	1.4e-030	1.4e-030	1.3e-030	1.3e-030	1.2e-030	1.2e-030	1.1e-030	1.0e-030	9.8e-031	9.2e-031	8.5e-031	7.8e-031	7.1e-031	6.3e-031	5.6e-031	4.7e-031	3.9e-031	3.0e-031	2.0e-031	1.0e-031	5.0e-035	-1.1e-031	-2.2e-031	-3.4e-031	-4.5e-031	-5.8e-031	-7.0e-031	
2401|	1.7e-030	1.7e-030	1.6e-030	1.6e-030	1.6e-030	1.5e-030	1.5e-030	1.4e-030	1.3e-030	1.3e-030	1.2e-030	1.2e-030	1.1e-030	1.0e-030	9.4e-031	8.7e-031	7.9e-031	7.0e-031	6.2e-031	5.3e-031	4.3e-031	3.3e-031	2.2e-031	1.1e-031	8.8e-035	-1.2e-031	-2.4e-031	-3.7e-031	-5.0e-031	-6.3e-031	
2501|	1.9e-030	1.9e-030	1.9e-030	1.8e-030	1.8e-030	1.7e-030	1.7e-030	1.6e-030	1.5e-030	1.5e-030	1.4e-030	1.3e-030	1.3e-030	1.2e-030	1.1e-030	1.0e-030	9.6e-031	8.7e-031	7.8e-031	6.8e-031	5.8e-031	4.7e-031	3.6e-031	2.4e-031	1.2e-031	-1.7e-035	-1.3e-031	-2.6e-031	-4.0e-031	-5.4e-031	
2601|	2.1e-030	2.1e-030	2.1e-030	2.1e-030	2.0e-030	2.0e-030	1.9e-030	1.8e-030	1.8e-030	1.7e-030	1.6e-030	1.6e-030	1.5e-030	1.4e-030	1.3e-030	1.2e-030	1.1e-030	1.0e-030	9.5e-031	8.5e-031	7.4e-031	6.3e-031	5.1e-031	3.9e-031	2.7e-031	1.3e-031	3.8e-035	-1.4e-031	-2.8e-031	-4.3e-031	
2701|	2.4e-030	2.4e-030	2.4e-030	2.3e-030	2.3e-030	2.2e-030	2.1e-030	2.1e-030	2.0e-030	1.9e-030	1.9e-030	1.8e-030	1.7e-030	1.6e-030	1.5e-030	1.4e-030	1.3e-030	1.2e-030	1.1e-030	1.0e-030	9.2e-031	8.1e-031	6.8e-031	5.6e-031	4.2e-031	2.9e-031	1.5e-031	-2.1e-034	-1.5e-031	-3.0e-031	
2801|	2.6e-030	2.6e-030	2.6e-030	2.6e-030	2.5e-030	2.5e-030	2.4e-030	2.3e-030	2.3e-030	2.2e-030	2.1e-030	2.0e-030	1.9e-030	1.8e-030	1.8e-030	1.7e-030	1.6e-030	1.5e-030	1.4e-030	1.2e-030	1.1e-030	1.0e-030	8.7e-031	7.4e-031	6.0e-031	4.6e-031	3.1e-031	1.6e-031	-1.2e-034	-1.6e-031	
2901|	2.9e-030	2.9e-030	2.9e-030	2.9e-030	2.8e-030	2.7e-030	2.7e-030	2.6e-030	2.5e-030	2.4e-030	2.4e-030	2.3e-030	2.2e-030	2.1e-030	2.0e-030	1.9e-030	1.8e-030	1.7e-030	1.6e-030	1.5e-030	1.3e-030	1.2e-030	1.1e-030	9.3e-031	7.9e-031	6.4e-031	4.9e-031	3.3e-031	1.7e-031	-2.0e-034	
