t'	a(t')	Trad(t')	Tb(t')	z(t')	i
1.71310e-007	2.99473e-004	9.10100e+003	8.93260e+003	3.33820e+003	75
1.73740e-007	2.99552e-004	9.09859e+003	8.92792e+003	3.33732e+003	76
1.76170e-007	2.99631e-004	9.09618e+003	8.92325e+003	3.33644e+003	77
1.78600e-007	2.99710e-004	9.09378e+003	8.91858e+003	3.33555e+003	78
1.81030e-007	2.99790e-004	9.09138e+003	8.91391e+003	3.33467e+003	79
1.83460e-007	2.99869e-004	9.08897e+003	8.90925e+003	3.33379e+003	80
1.85890e-007	2.99948e-004	9.08658e+003	8.90460e+003	3.33291e+003	81
1.88320e-007	3.00027e-004	9.08418e+003	8.89995e+003	3.33203e+003	82
1.90750e-007	3.00106e-004	9.08178e+003	8.89530e+003	3.33115e+003	83
1.93180e-007	3.00186e-004	9.07938e+003	8.89066e+003	3.33027e+003	84
1.95610e-007	3.00265e-004	9.07699e+003	8.88602e+003	3.32939e+003	85
1.98040e-007	3.00344e-004	9.07460e+003	8.88139e+003	3.32852e+003	86
2.00470e-007	3.00423e-004	9.07221e+003	8.87676e+003	3.32764e+003	87
2.02900e-007	3.00502e-004	9.06982e+003	8.87214e+003	3.32676e+003	88
2.05330e-007	3.00581e-004	9.06743e+003	8.86752e+003	3.32589e+003	89
2.07760e-007	3.00660e-004	9.06505e+003	8.86290e+003	3.32501e+003	90
2.10190e-007	3.00739e-004	9.06266e+003	8.85829e+003	3.32414e+003	91
2.12620e-007	3.00819e-004	9.06028e+003	8.85369e+003	3.32326e+003	92
2.15050e-007	3.00898e-004	9.05790e+003	8.84908e+003	3.32239e+003	93
2.17480e-007	3.00977e-004	9.05552e+003	8.84449e+003	3.32152e+003	94
2.19910e-007	3.01056e-004	9.05314e+003	8.83989e+003	3.32064e+003	95
2.22340e-007	3.01135e-004	9.05077e+003	8.83530e+003	3.31977e+003	96
2.24770e-007	3.01214e-004	9.04839e+003	8.83072e+003	3.31890e+003	97
