t'	a(t')	Trad(t')	Tb(t')	z(t')	i
6.6846710e-007	3.1547431e-004	8.6393723e+003	8.6301627e+003	3.1688302e+003	67
6.8157430e-007	3.1589060e-004	8.6279872e+003	8.6187595e+003	3.1646530e+003	68
6.9468150e-007	3.1630660e-004	8.6166396e+003	8.6073939e+003	3.1604895e+003	69
7.0778870e-007	3.1672234e-004	8.6053293e+003	8.5960655e+003	3.1563397e+003	70
7.2089590e-007	3.1713779e-004	8.5940562e+003	8.5847743e+003	3.1522035e+003	71
7.3400310e-007	3.1755297e-004	8.5828199e+003	8.5735200e+003	3.1480809e+003	72
7.4711030e-007	3.1796788e-004	8.5716204e+003	8.5623025e+003	3.1439717e+003	73
7.6021750e-007	3.1838252e-004	8.5604574e+003	8.5511214e+003	3.1398760e+003	74
7.7332470e-007	3.1879688e-004	8.5493308e+003	8.5399768e+003	3.1357935e+003	75
7.8643190e-007	3.1921097e-004	8.5382403e+003	8.5288682e+003	3.1317244e+003	76
7.9953910e-007	3.1962479e-004	8.5271858e+003	8.5177957e+003	3.1276684e+003	77
8.1264630e-007	3.2003834e-004	8.5161671e+003	8.5067589e+003	3.1236256e+003	78
8.2575350e-007	3.2045162e-004	8.5051840e+003	8.4957577e+003	3.1195958e+003	79
8.3886070e-007	3.2086463e-004	8.4942363e+003	8.4847919e+003	3.1155791e+003	80
8.5196790e-007	3.2127738e-004	8.4833238e+003	8.4738614e+003	3.1115752e+003	81
8.6507510e-007	3.2168985e-004	8.4724463e+003	8.4629659e+003	3.1075842e+003	82
8.7818230e-007	3.2210206e-004	8.4616037e+003	8.4521052e+003	3.1036060e+003	83
8.9128950e-007	3.2251400e-004	8.4507959e+003	8.4412793e+003	3.0996406e+003	84
9.0439670e-007	3.2292568e-004	8.4400225e+003	8.4304879e+003	3.0956878e+003	85
9.1750390e-007	3.2333709e-004	8.4292834e+003	8.4197308e+003	3.0917475e+003	86
9.3061110e-007	3.2374824e-004	8.4185786e+003	8.4090079e+003	3.0878199e+003	87
9.4371830e-007	3.2415913e-004	8.4079077e+003	8.3983189e+003	3.0839047e+003	88
9.5682550e-007	3.2456975e-004	8.3972706e+003	8.3876638e+003	3.0800019e+003	89
9.6993270e-007	3.2498011e-004	8.3866672e+003	8.3770423e+003	3.0761114e+003	90
9.8303990e-007	3.2539021e-004	8.3760972e+003	8.3664543e+003	3.0722332e+003	91
9.9614710e-007	3.2580004e-004	8.3655606e+003	8.3558996e+003	3.0683673e+003	92
1.0092543e-006	3.2620962e-004	8.3550570e+003	8.3453781e+003	3.0645135e+003	93
