t'	a(t')	Trad(t')	Tb(t')
------------
0.0000000000000	1.0000000000000	2.7255000000000	0.0008067635651
-0.0001000000000	0.9999000025857	2.7257725702090	0.0008069249378
-0.0002000000000	0.9998000104409	2.7260451805738	0.0008070863505
-0.0003000000000	0.9997000235646	2.7263178311049	0.0008072478030
-0.0004000000000	0.9996000419557	2.7265905218127	0.0008074092956
-0.0005000000000	0.9995000656134	2.7268632527077	0.0008075708281
-0.0006000000000	0.9994000945365	2.7271360238004	0.0008077324005
-0.0007000000000	0.9993001287241	2.7274088351012	0.0008078940130
-0.0008000000000	0.9992001681753	2.7276816866207	0.0008080556654
-0.0009000000000	0.9991002128889	2.7279545783694	0.0008082173578
-0.0010000000000	0.9990002628640	2.7282275103576	0.0008083790903
-0.0011000000000	0.9989003180996	2.7285004825961	0.0008085408628
-0.0012000000000	0.9988003785946	2.7287734950951	0.0008087026753
-0.0013000000000	0.9987004443482	2.7290465478653	0.0008088645279
-0.0014000000000	0.9986005153592	2.7293196409172	0.0008090264206
-0.0015000000000	0.9985005916268	2.7295927742612	0.0008091883534
-0.0016000000000	0.9984006731498	2.7298659479080	0.0008093503263
-0.0017000000000	0.9983007599273	2.7301391618679	0.0008095123393
-0.0018000000000	0.9982008519583	2.7304124161516	0.0008096743924
-0.0019000000000	0.9981009492418	2.7306857107696	0.0008098364856
-0.0020000000000	0.9980010517767	2.7309590457324	0.0008099986191
-0.0021000000000	0.9979011595621	2.7312324210505	0.0008101607927
-0.0022000000000	0.9978012725971	2.7315058367345	0.0008103230064
-0.0023000000000	0.9977013908805	2.7317792927950	0.0008104852604
-0.0024000000000	0.9976015144113	2.7320527892425	0.0008106475546
-0.0025000000000	0.9975016431887	2.7323263260875	0.0008108098890
-0.0026000000000	0.9974017772115	2.7325999033407	0.0008109722636
-0.0027000000000	0.9973019164788	2.7328735210125	0.0008111346785
-0.0028000000000	0.9972020609896	2.7331471791136	0.0008112971336
-0.0029000000000	0.9971022107428	2.7334208776546	0.0008114596291
-0.0030000000000	0.9970023657376	2.7336946166459	0.0008116221648
-0.0031000000000	0.9969025259728	2.7339683960982	0.0008117847408
-0.0032000000000	0.9968026914474	2.7342422160221	0.0008119473571
-0.0033000000000	0.9967028621606	2.7345160764281	0.0008121100138
-0.0034000000000	0.9966030381112	2.7347899773269	0.0008122727108
-0.0035000000000	0.9965032192982	2.7350639187291	0.0008124354482
-0.0036000000000	0.9964034057208	2.7353379006452	0.0008125982260
-0.0037000000000	0.9963035973778	2.7356119230859	0.0008127610441
-0.0038000000000	0.9962037942682	2.7358859860618	0.0008129239026
-0.0039000000000	0.9961039963911	2.7361600895835	0.0008130868016
